id_statement;nombre_linea;monto;numero;partner;name;date;journal_id;partner_id_move;amount_move_total;move_id;move_line_id;balance;currency
1091841;0799502801 P.PROVEEDOR ARTICUL;85085;;1;FAC 028405;2023-02-01;1;100020;85085;2160697;4839899;-85085;45
1092124;0799502801 P.PROVEEDOR ARTICUL;85637;;1;FAC 029406;2023-03-01;1;100020;85637;2204189;4978471;-85637;45
1093694;0799502801 P.PROVEEDOR ARTICUL;85768;;1;FAC 030439;2023-04-01;1;100020;85768;2233612;5040423;-85768;45
1094951;0799502801 P.PROVEEDOR ARTICUL;86437;;1;FAC 031441;2023-05-01;1;100020;86437;2277705;5141830;-86437;45
1097029;0799502801 P.PROVEEDOR ARTICUL;86882;;1;FAC 032475;2023-06-01;1;100020;86882;2294793;5193013;-86882;45
1097414;0799502801 P.PROVEEDOR ARTICUL;87013;;1;FAC 033509;2023-07-01;1;100020;87013;2467252;5534157;-87013;45
1098620;0799502801 P.PROVEEDOR ARTICUL;86906;;1;FAC 034541;2023-08-01;1;100020;86906;2479181;5569944;-86906;45
1099198;0799502801 P.PROVEEDOR ARTICUL;87120;;1;FAC 035592;2023-09-01;1;100020;87120;2522214;5669083;-87120;45
1418061;0799502801 P.PROVEEDOR ARTICUL;87272;;1;FAC 036744;2023-10-01;1;100020;87272;2538136;5716843;-87272;45
1419205;0799502801 P.PROVEEDOR ARTICUL;87748;;1;FAC 037879;2023-11-01;1;100020;87748;2579501;5840818;-87748;45
1459719;0799502801 P.PROVEEDOR ARTICUL;88165;;1;FAC 039085;2023-12-01;1;100020;88165;2715421;6282167;-88165;45
